school_id	Blended learning	Deeper learning for mastery	Educational justice and holistic student supports	Flexible and individualized learning pathways	Postsecondary pathways and the world outside school
281	3.2065863615414245	7.623000026272463	10.518984133219107	9.350806693647394	7.696034088060466
292	3.683336165390956	4.241125469020511	4.756201944572626	3.3881624625834865	2.823017920417317
293	-0.05697284159948712	7.517331727445224	6.098982648869694	7.595772065492143	3.606259695467702
296	4.374716850388301	7.120777908513862	8.746269134830204	6.161948962489778	2.7786666580450854
299	3.1842557402141223	7.6202340764551755	6.573454501332089	5.7417465933138025	5.193454219970916
302	3.62581431529615	5.620306702724529	8.200823745239756	7.001802688855679	1.5907228619969493
303	2.404880322018443	5.430736794467665	11.056150874991083	7.019302686105625	7.20168437021272
306	2.304527906329434	3.250638663013902	9.436712477182338	3.7419885126673496	2.277125080103443
312	2.8843835070162673	5.223950602446882	10.820296860563111	5.24457499293612	5.633586871196347
319	1.052765888106008	5.831830690866456	3.91536971836192	3.028393416703124	2.1628713490304885
323	1.5191778433635954	6.56824447334368	4.588428397992783	4.419462780201223	5.926234416316151
333	-0.09304585491809178	6.615629056350907	6.699077404115406	4.312932408010347	0.978623034499605
345	2.545564152039987	2.8567923155614188	4.383934889748583	1.7340889884860191	0.62307347149752
348	4.192516070233102	5.733955017480409	8.830344418330512	4.787234089579521	6.807685312584187
353	3.387633997601354	7.5503496491434205	10.242473077364465	7.268131624312437	6.791867384216436
356	1.4767806206736216	5.23152489519692	5.16952452287569	4.450277900615408	3.0071708009720655
358	1.8423325338672358	8.37224519371956	9.101627579389792	7.174202472345867	4.071186341166903
360	0.7677133831728005	5.960862240808529	9.199892695614315	6.21138294671003	5.7288553519926015
364	0.927930693308197	1.2765427256114155	3.720085911645205	1.2757225406434047	2.0126574931995393
368	0.8710486182443252	8.017487197335164	8.82800730579628	8.339279597988757	5.2597131089721545
371	4.201003514280652	3.2109578975779125	7.1912810956831	7.475708398918927	3.494749347974719
380	1.9109644397611458	6.025450651652737	9.697018310516858	6.533439909720551	7.782342856053804
382	0.058419051898895125	5.521835726844432	7.95562862889458	7.9327039455254935	2.5087993129938173
383	2.642639349394841	3.673720645846991	7.057561090284877	6.062870239611812	7.267136972102047
384	2.5919138742158445	0.7940623582993835	2.562146440799727	5.293342988861493	7.096231962386633
394	-0.048325996941990024	0.9011234900582794	3.7562371476011065	1.9877583067758502	1.1035543553277727
411	1.3653066362303217	2.8612114125052743	6.558327508143529	3.847730302531641	0.3734527681737596
417	2.8103377882926246	2.8035052838532106	5.026961356920869	2.410823395766381	0.7672872193031018
418	2.255160192791845	2.5865080986605298	1.8639722957675162	1.6468554109816034	0.06599056729411876
421	5.745821330805683	5.156358688789966	7.903525757670062	6.544097705835465	4.011440803778392
429	0.4580664722625356	6.669734702183899	9.009402906238712	4.2310997616995225	6.14506265891429
440	-0.7731640018556316	4.176882234466971	5.386323817690536	1.8400183929605693	3.560535105272506
445	3.4307331509243646	4.873864646528791	4.601950009064812	3.972980840089482	3.481044874201025
452	2.2472886547335054	5.7798562835046345	4.40978810071034	3.8978362363696712	6.849525073072231
455	1.985289570733699	6.356280609196878	7.892854520810683	6.795928955158193	6.035550147293298
458	2.756560591323452	5.643194865619209	9.215768262022408	7.618274179496453	4.744489568995384
462	0.9905256665355384	6.063248182917211	5.712750993716135	4.754998750065696	6.551179004069719
465	0.6598879228219955	3.38608047134202	6.681964025895673	5.396058547970425	3.863580352654802
466	2.1167765201245747	7.405650414849229	8.914066673366158	9.1811505627051	7.694589334136593
475	4.168592776304307	2.1919299672736368	4.864816892667676	6.021729510710963	3.7277061564837854
477	0.49075756654325575	5.374555849688406	9.65311147246269	5.950230100139165	2.572438763196569
480	2.9303812222709915	4.033801563370281	5.605828491955053	4.431940116399257	3.890829793479125
483	1.9160676262748633	7.182352742034413	10.363351642293075	5.140939296337914	2.729887041022892
493	-0.9017133573621081	6.952134213062209	7.631767640959155	6.139296966902592	2.4451173181927937
